Tm,Cmp%,TD%,Int%,Y/A,Y/C,Sk%
CLE,51.9,3.0,1.5,5.4,10.4,10.1
DAL,60.0,4.7,4.7,6.8,11.3,8.6
BAL,60.1,1.8,2.3,5.4,9.1,9.9
TAM,65.3,3.1,3.1,6.9,10.5,7.2
NOR,55.9,3.5,4.0,5.9,10.5,6.0
CAR,66.5,5.9,2.9,7.6,11.4,7.6
NWE,66.8,3.1,1.0,6.8,10.1,5.9
ATL,61.4,5.4,1.6,6.2,10.2,5.2
BUF,67.2,2.2,4.4,7.1,10.5,11.6
GNB,66.0,3.1,2.5,6.6,10.0,8.5
CIN,61.3,4.1,4.1,7.2,11.7,8.9
LVR,68.3,4.3,2.7,6.6,9.7,6.5
SFO,63.4,2.1,4.3,5.5,8.7,6.0
KAN,60.9,3.4,1.4,5.8,9.5,7.6
NYJ,65.9,3.7,3.7,6.4,9.7,5.7
LAR,56.9,2.0,1.5,6.4,11.3,4.7
SEA,68.5,3.5,2.0,7.0,10.3,8.7
DET,60.8,3.4,2.6,6.3,10.3,6.1
HOU,70.6,1.9,1.9,7.1,10.1,4.0
NYG,64.2,4.5,1.7,7.4,11.6,2.7
MIA,69.4,3.8,1.0,7.2,10.4,9.1
WAS,61.4,5.8,2.4,7.6,12.3,8.4
LAC,66.5,4.3,1.6,8.5,12.7,10.0
MIN,75.2,4.5,1.5,7.2,9.5,8.2
TEN,71.5,3.1,1.0,8.0,11.2,7.2
PIT,59.3,4.4,2.7,7.3,12.3,8.5
PHI,64.1,4.7,0.9,6.5,10.2,7.9
ARI,70.9,4.5,2.0,8.0,11.3,8.3
JAX,64.4,3.8,3.4,7.1,11.1,4.8
IND,67.9,3.3,1.9,7.4,10.9,7.7
DEN,76.4,7.2,2.1,8.8,11.5,6.7
CHI,70.3,6.2,1.4,7.9,11.3,4.1
